CodigoProducto,Producto,Categoria
SE-BEB160-4910,SANGARIA ANATANO OCHA TE VERDE 500 ML,TÉ
CO-PDM456-1392,SALMON AHUMADO INST.,PESCADOS
RE-TQO701-0847,PHILADELPHIA QUESO CREMA 1.900 KG,QUESOS
SE-SAL504-0155,CHAOKOH CONCENTRADO DE COCO 400 ML,SALSA TAILANDESA
SE-SAL500-0882,LKK CHILI BEAN SAUCE (TOBAN DJAN) 226 G,SALSA CHINA
SE-SAL502-0788,KIKKOMAN SALSA SOYA 18.9 L,SALSA DE SOYA
SE-ARR102-11328,HITOMEBORE ARROZ JAPÓN 10 KG,ARROZ DE GRANO CORTO
SE-TQO702-12626,MORI-NU TOFU (EXTRA FIRME) 308 G,TOFU
RE-SYE551-0988,MARUKOME MISO RED 2.2LB,MISO
SE-SYE558-6182,OCEAN FOODS YUZU KOSHO 1 KG,SAZONADOR JAPONÉS
CO-SYE558-6000,KINJIRUSHI KAORU NAMA OROSHI WASABI RC-808 800 G,SAZONADOR JAPONÉS
SE-SAL503-1075,MIZKAN AJIPON 710 ML,SALSA JAPONESA
SE-TYE754-1099,MIYAKO RAINBOW NORI SESAME NAT 2.79 OZ,TORTILLA DE SOYA
CO-TYE751-0208,DYNASTY GYOZA SKIN 284 G,TORTILLA PARA GYOZA
SE-BEB157-9598,GEKKEIKAN JUNMAI SAKE 18 L,SAKE PARA BEBER
RE-SYE551-7892,HIKARI SHINSHU MISO 1 KG,MISO
SE-SAL500-0900,LKK SALSA CHILE Y AJO 368 GRS.,SALSA CHINA
SE-TQO702-12625,MORI-NU TOFU (FIRME) 307 G,TOFU
SE-PDM450-1915,TOYO NORI SILVER 50 HJS,ALGA
SE-SYE558-4049,YUZUYA HONTEN JUGO DE YUZU 1.8 L,SAZONADOR JAPONÉS
SE-BEB159-12808,HAITAI BONG BONG UVA 238 ML,SIN GAS
CO-PDM451-2342,TETSUJIN ANGUILA PREMIUM 11 OZ,ANGUILA
SE-SYE558-4407,EBARA BASE PARA SOPA DE TONKOTSU RAMEN 1.8 L,SAZONADOR JAPONÉS
CO-PDM454-10684,KOKKU HUEVA DE PESCADO PROC (MASAGO) 2 KG,HUEVA DE PESCADO
SE-ACE050-0703,KADOYA SESAME OIL PURE 327 ML,ACEITE AJONJOLÍ
SE-DGB303-8494,GLICO POCKY ALMOND CRUSH 46.2 G,GALLETA CHOCOLATE
RE-BEB159-0096,CALPI SUI 500 ML,SIN GAS
SE-ARR101-0833,KOKKU ARROZ CALROSE SUSHI 750 G,ARROZ CALROSE
SE-SAL500-0896,LKK OYSTER SAUCE PANDA 255 G,SALSA CHINA
SE-SFP601-0209,DYNASTY MAIFUN FIDEO DE ARROZ 191G,FIDEO DE ARROZ
SE-SFP604-0210,DYNASTY SAIFUN / FIDEO CHINO 150G,FIDEO VERMICELLI
SE-SAL503-1935,TOYO SALSA ANGUILA ESPECIAL 250 ML,SALSA JAPONESA
SE-SYE599-1087,MIZKAN SUSHISU (PREPARADO) 355 ML,OTRO SAZONADOR
OT-UTE899-1061,MH CHAROLA C/ TAPA 50 PZA MOD. YP-0.8 CH,OTROS UTENSILIOS
OT-UTE804-1839,TETSUJIN PALILLO DE BAMBU 100 PARES 23 CM.,PALILLOS DE BAMBOO
CO-PDM454-9939,KOKKU TOBIKO NARANJA 500 G,HUEVA DE PESCADO
RE-SYE551-1003,MARUKOME MISO WHITE 44LBS,MISO
SE-SAL502-0921,LUCKY SALSA DE SOYA 18.93 L,SALSA DE SOYA
SE-SAL500-4231,HFF SRIRACHA 3.859 KG,SALSA CHINA
OT-UTE807-1946,TETSUJIN SUNOKO PREMIUM MAKISU MANTEL DE BAMBU 24X24 CM 31113,SUNOKO MAKISU
SE-DGB302-12674,AMOS PEELERZ PLATANO 65 G,DULCE
SE-DGB302-14167,AMOS PEELERZ FRESA 65 G,DULCE
SE-DGB302-12675,AMOS PEELERZ DURAZNO 65 G,DULCE
SE-DGB302-13614,AMOS PEELERZ KIWI 65 G,DULCE
SE-DGB302-14169,AMOS PEELERZ CONCHAS 65 G,DULCE
CO-PDM456-3530,AQUACHILE SALMON ATLANTICO CRUDO FILETE (3-4 LB) KG,PESCADOS
CO-PDM456-0043,ATUN FILETEADO IMPORTADO,PESCADOS
CO-TYE755-1768,GREENLAND SPRING ROLL DE VEGETALES 20 PZAS 566 G,TORTILLAS EMPANADAS
OT-UTE899-4705,SHIRAKIKU TOALLITAS HUMEDAS 100 PZAS,OTROS UTENSILIOS
SE-SYE558-9811,SOMI TONKOTSU RAMEN SOUP 1 KG,SAZONADOR JAPONÉS
CO-PDM451-1841,TETSUJIN ANGUILA PREMIUM 10 OZ,ANGUILA
CO-PDM453-9524,TOYO CAMARON FRIZADO SIN CABEZA 26/30 5KG PZA,MARISCOS
SE-SAL502-1940,TOYO SALSA DE SOYA IMPORTADO 1 L,SALSA DE SOYA
SE-SFP604-2007,VERMICELLI LONGKOU 500 G,FIDEO VERMICELLI
SE-PDM450-4086,TETSUJIN WAKAME 454 G,ALGA
SE-SYE599-14290,MIZKAN SU AWASE KD39 15 L (ETIQ. AMAR.),OTRO SAZONADOR
CO-PDM456-13881,AQUACHILE SALMON COHO PORCION (8 OZ) KG,PESCADOS
SE-BEB199-13606,BINGGRAE LECHE BANANA 200 ML,OTRAS BEBIDAS
SE-BEB199-13607,BINGGRAE LECHE FRESA 200 ML,OTRAS BEBIDAS
SE-ARR101-0066,BOTAN ARROZ MUSENMAI 2.26 KG,ARROZ CALROSE
SE-DGB303-2128,GLICO POCKY CHOCOLATE 40 G,GALLETA CHOCOLATE
SE-DGB303-0485,GLICO POCKY CHOCOLATE 70G,GALLETA CHOCOLATE
SE-DGB303-4780,GLICO POCKY COOKIES & CREAM 40 G,GALLETA CHOCOLATE
SE-DGB303-4008,GLICO POCKY COOKIES & CREAM 70 G,GALLETA CHOCOLATE
SE-DGB303-4719,GLICO POCKY FAMILY PACK CHOCOLATE 9 PZAS 117 G,GALLETA CHOCOLATE
SE-DGB303-3454,GLICO POCKY FRESA 70 G,GALLETA CHOCOLATE
SE-DGB304-2127,GLICO POCKY GREEN TEA 40 G,GALLETA DULCE
SE-DGB303-3456,GLICO POCKY TE VERDE 70 G,GALLETA CHOCOLATE
SE-SAL505-0553,HFF SAMBAL OELEK SAUCE (S) 8OZ,SALSA VIETNAMITA
SE-ACE050-0702,KADOYA SESAME OIL PURE 163 ML.,ACEITE AJONJOLÍ
SE-SYE554-2961,KEWPIE ADEREZO SÉSAMO CREMOSO 236ML,SAZONADOR ADEREZO
SE-SYE599-5251,KEWPIE MAYONESA 355 ML,OTRO SAZONADOR
SE-SAL502-0797,KIKKOMAN SOYA SIN GLUTEN 295.7ML,SALSA DE SOYA
SE-SFP400-11962,KOKKU TALLARIN DE ARROZ 3 MM 400 G,HARINA DE ARROZ
SE-SFP400-11963,KOKKU TALLARIN DE ARROZ 5 MM 400 G,HARINA DE ARROZ
SE-BEB155-12738,NICO NICO UVA CON NATA DE COCO 320 ML,JUGO
SE-SFP600-0247,NOODLE HOUSE FIDEO GRUESO 454 G,FIDEO CHINO
SE-BEB199-8467,OTSUKA POCARI SWEAT 500 ML,OTRAS BEBIDAS
SE-SFP606-1301,PALDO BIBIM MEN 130G,SOPAS Y FIDEOS INSTA
SE-SFP606-8567,PALDO KING CUP SEAFOOD 110G,SOPAS Y FIDEOS INSTA
SE-DGB309-11825,ROYAL CACAO MOCHI TARO 80 G,POSTRES
SE-DGB309-12722,ROYAL MOCHI COCO 180 G,POSTRES
SE-DGB309-12121,ROYAL MOCHI PAY DE QUESO CON FRESA 180 G,POSTRES
SE-SFP606-11139,SAMYANG HOT CHICKEN CREAMY CARBONARA 140 G,SOPAS Y FIDEOS INSTA
SE-BEB151-11268,SAPPORO BEER PREMIUM LATA 473 ML,CERVEZA
SE-SFP606-11319,YOPOKKI RAPOKKI CUP PICANTE 145 G,SOPAS Y FIDEOS INSTA
SE-SFP606-11318,YOPOKKI RAPOKKI CUP QUESO 145 G,SOPAS Y FIDEOS INSTA
SE-SAL503-0802,KIKKOMAN TERIYAKI BLASTE&GLAZE 340G,SALSA JAPONESA
CO-TYE755-11585,SEÑOR YOSHI GYOZA DE CAMARON 1 KG,TORTILLAS EMPANADAS
CO-TYE755-13283,SEÑOR YOSHI GYOZA DE CHAMPIÑON 1 KG,TORTILLAS EMPANADAS
CO-FVL357-5141,EBARA UMAKARA KIMUCHI 500 G,VERDURA CURTIDA
OT-UTE899-10025,STRATON CILINDRO DE GAS 400 ML,OTROS UTENSILIOS
RE-FVL357-8323,TOYO GARI ROSA 454 G,VERDURA CURTIDA
RE-SYE551-1906,TOYO NAGANO SHIRO MISO 500 G,MISO
CO-PDM458-9767,AQUAMAR SURIMI EN TROCITOS 1 KG,SURIMI
SE-ACE099-9924,AVE ACEITE VEGETAL 10 L,OTROS ACEITES
CO-PDM453-1606,SM CAMARON FRIZADO SIN CABEZA 41/50,MARISCOS
SE-HYE403-11103,KOKKU PAN MOLIDO ESTILO JAPONÉS 9.07 KG,PANKO
RE-TQO701-0848,PHILADELPHIA QUESO CREMA 8 KG,QUESOS
SE-BEB153-0876,LIMON DESHIDRATADO EN POLVO 1 KG.,CONCENTRADO EN POLVO
CO-PDM453-8551,TOYO CAMARON FRIZADO SIN CABEZA 41/50 1KG PZA,MARISCOS
SE-PDM450-8666,TAKAOKAYA KOYABURE NORI 100 HJS,ALGA
SE-SFP606-7151,SAMYANG HOT CHICKEN RAMEN MULTI-CARBO 130 G,SOPAS Y FIDEOS INSTA
SE-SAL502-0795,KIKKOMAN SOY SAUCE P/B 1.8LTR,SALSA DE SOYA
SE-SYE599-1084,MIZKAN RICE VINEGAR NAT 355 ML,OTRO SAZONADOR
SE-SFP606-10804,SAMYANG HOT CHICKEN RAMEN HABANERO Y LIMON 135 G,SOPAS Y FIDEOS INSTA
SE-DGB302-14012,AMOS PEELERZ MARACUYA 65 G,DULCE
RE-SYE599-0828,KOCHIJAN HOT PEPPER PASTE 17 KG,OTRO SAZONADOR
SE-SAL502-9726,LUCKY SALSA DE SOYA EN SOBRES 500 PZA,SALSA DE SOYA
SE-SFP606-7122,SAMYANG EXTRA PICANTE POLLO 140G,SOPAS Y FIDEOS INSTA
SE-SFP606-6097,SAMYANG INSTAN PICANTE POLLO 140G,SOPAS Y FIDEOS INSTA
SE-HYE449-0107,CHABON BLACK PEARL TAPIOKA 5 LB.,OTRAS HARINAS
SE-SYE558-6392,AJINOMOTO HONDASHI BOLSA 1 KG,SAZONADOR JAPONÉS
SE-ARR101-1889,TOYO ARROZ 4 KG.,ARROZ CALROSE
SE-SYE599-1772,STAR VALUE MAYONESA 3.45 LTS.,OTRO SAZONADOR
SE-SYE599-6765,CULINAIRE MAYONESA 3.79 L,OTRO SAZONADOR
SE-ARR101-1786,SUNWEST ARROZ U.S. # 1 22.6 KG,ARROZ CALROSE
CO-TYE755-9905,SEÑOR YOSHI GYOZA DE CARNE Y VERDURA 500 G,TORTILLAS EMPANADAS
SE-SFP606-14057,TAPATIO RAMEN BIRRIA 120G,SOPAS Y FIDEOS INSTA
SE-SFP606-14056,TAPATIO RAMEN CARNE ASADA CON LIMON 120G,SOPAS Y FIDEOS INSTA
SE-SAL502-0793,KIKKOMAN SALSA DE SOYA EN DISPENSADOR 148 ML,SALSA DE SOYA
SE-DGB304-2126,GLICO POCKY STRAWBERRY 40 G,GALLETA DULCE
SE-SYE558-3966,AJINOMOTO HONDASHI 120 G,SAZONADOR JAPONÉS
SE-SAL500-0885,LKK HOISIN SAUCE 567 GRS.,SALSA CHINA
SE-DGB309-10275,ROYAL FRUIT MOCHI PEACH 132 G,POSTRES
SE-DGB309-11561,ROYAL FRUIT MOCHI TROPICAL 120 G,POSTRES
SE-DGB309-10274,ROYAL FRUIT MOCHI MANGO 132 G,POSTRES
SE-DGB309-10272,ROYAL FRUIT MOCHI STRAWBERRY 132 G,POSTRES
SE-SFP606-14052,TAPATIO RAMEN BIRRIA BIG BOWL 110G,SOPAS Y FIDEOS INSTA
SE-BEB158-7899,HITEJINRO JINRO UVA 360 ML,SHOCHU
SE-BEB158-12205,LOTTE SOON HARI MORA AZUL 360 ML,SHOCHU
SE-ARR101-2199,NISHIKI PREMIUM RICE 6.8 KG.,ARROZ CALROSE
